product_name,category,subcategory,brand,short_description,long_description,specifications,price,product_url
Distanciómetro Láser Trotec 200 mt – TD200,Herramientas,Medidores de distancia,TROTEC,Distanciómetro profesional de 200m con cámara digital y sensor de 360°.,"El Trotec TD200 permite mediciones precisas de hasta 200 metros. Equipado con una cámara digital con zoom de 3x y sensor de inclinación de 360°, facilita el trabajo en condiciones de iluminación desfavorables. Su pantalla HD de 3"" y protección IP65 lo hacen ideal para obras.","Rango: 0.05 a 200 m; Precisión: ±2.0 mm; Pantalla HD 3""; Cámara zoom 3x; Funciones Pitágoras; Cálculo de áreas y volúmenes; Memoria 1000 datos; Protección IP65",Consultar,https://pbt.com.bo/producto/distanciometro-200-mt-td200/
Estación de soldar Trotec PSIS 10-230V,Herramientas,Estación de soldar,TROTEC,Estación de soldadura de 60W con control digital de temperatura (200°C - 450°C).,"La estación PSIS 10-230V permite soldar componentes electrónicos con precisión profesional. Ofrece niveles de temperatura preprogramados y un calentamiento rápido en 60 segundos, ideal para reparaciones delicadas de circuitos impresos y maquetas.",Potencia: 60 W; Rango: 200°C a 450°C; Calentamiento: 60 seg; Pantalla LC digital; Modo ahorro energía; Ajustes en incrementos de 10°C,Consultar,https://pbt.com.bo/producto/estacion-de-soldar-psis-10-230v/
Estación de soldar Trotec PSIS 11-230V,Herramientas,Estación de soldar,TROTEC,Estación de soldar ergonómica de 48W con ajuste continuo hasta 500°C.,"Herramienta profesional para soldadura de componentes electrónicos y cables. Con un ajuste continuo mediante control giratorio, permite un manejo sencillo y eficiente. Incluye soporte, esponja de limpieza y puntas intercambiables.",Potencia: 48 W; Rango: 150°C a 500°C; Ajuste continuo; Cable soldador 1m; Protección Clase I; Incluye 2 puntas y soldadura sin plomo,Consultar,https://pbt.com.bo/producto/estacion-de-soldar-trotec/
Estación meteorológica HOBO U30-NRC Kit básico,Medición y registro de parámetros ambientales,Exterior,HOBO,Kit de estación meteorológica resistente con sensores plug-and-play.,"El kit de inicio HOBO U30-NRC combina la resistencia industrial con la comodidad. Acepta hasta 10 sensores inteligentes que se reconocen automáticamente sin necesidad de programación. Mide temperatura, humedad, velocidad y dirección del viento.",Incluye registrador U30-NRC; Panel solar 1.2W; Sensor Temp/HR; Sensor Viento; Escudo de radiación RS3; 10 entradas para sensores inteligentes,Consultar,https://pbt.com.bo/producto/estacion-meteorologica-hobo-u30-nrc-kit-basico/
Estación meteorológica remota HOBO RX3004,Medición y registro de parámetros ambientales,Estación Meteorológica,HOBO,Sistema de monitoreo climático con acceso a datos en la nube y alarmas.,La RX3004 brinda acceso instantáneo a datos climáticos específicos desde cualquier dispositivo móvil o PC. Incluye un plan de datos móviles y acceso a HOBOlink para gestionar notificaciones de alarma y entrega automatizada de datos 24/7.,Acceso basado en la nube; Notificaciones por texto/email; Hasta 10 sensores plug-and-play; Caja resistente a la intemperie; Incluye plan de datos 1 año,Consultar,https://pbt.com.bo/producto/estacion-meteorologica-remota-hobo-rx3004/
Lámpara de trabajo PWLS 06-10,Herramientas,Iluminación,TROTEC,Foco LED inalámbrico de 800 lm con función de Power Bank integrada.,Potente luz de trabajo con tecnología COB que proporciona iluminación uniforme. Su batería de litio permite hasta 8 horas de uso y funciona como cargador para smartphones y otros dispositivos USB. Su diseño es resistente a salpicaduras (IP44).,Brillo: 800 lm; Batería: 3.7V (4.4 Ah); 3 modos de luz; Soporte magnético; Ajuste 180°; Función Power Bank USB; Protección IP44; Temp. color: 6000K,Consultar,https://pbt.com.bo/producto/lampara-de-trabajo-pwls-06-10/
Lámpara de trabajo PWLS 10-70,Herramientas,Iluminación,TROTEC,Foco LED industrial de 70W con gran flujo luminoso de 6.300 lm.,"Diseñado para construcción y renovaciones, el PWLS 10-70 ofrece una luz extra brillante con 120 LEDs de alto rendimiento. Fabricado en aluminio de alta calidad con vidrio templado, garantiza durabilidad y una disipación de calor avanzada.",Flujo luminoso: 6.300 lm; Potencia: 70 W; Protección: IP65; Ángulo de haz: 120°; Dirección ajustable 360°; Cuerpo de aluminio; Temp. color: 5000K,Consultar,https://pbt.com.bo/producto/lampara-de-trabajo-pwls-10-70/
Medidor de distancia LMW-100,Medidor de distancia,Herramientas de Medición,SONEL,Telémetro láser de 100m robusto y compacto para electricistas y construcción.,"El Sonel LMW-100 es un asistente imprescindible que ayuda a calcular áreas, volúmenes y alturas indirectas. Su carcasa de goma lo protege contra daños en condiciones difíciles de obra, facilitando el cálculo de distancias para redes y cables.",Alcance: 100 m; Cálculo de área y volumen; Mediciones indirectas (Pitágoras); Carcasa de goma resistente; Diseño de bolsillo; Pantalla retroiluminada,Consultar,https://pbt.com.bo/producto/medidor-de-distancia-lmw-100/
Medidor de resistencia de tierra y resistividad MRU-120,Energía Eléctrica,Resistencia de Puesta a Tierra,SONEL,Medidor profesional multifunción para puesta a tierra y parámetros de red.,"El Sonel MRU-120 es un equipo avanzado para medir resistencia de puesta a tierra, impedancia de bucle y resistividad del suelo. Permite ensayos de RCD tipo AC y A, medición de continuidad y autocalibración de conductores, todo en un diseño ergonómico con Bluetooth.",Impedancia de bucle (180-460V); Corriente máx: 13.3A; Ensayo RCD (10 a 500mA); Continuidad ±200mA; Memoria: 990 resultados; Bluetooth; Protección IP67,Consultar,https://pbt.com.bo/producto/sonel-mru-120/
Medidor de resistencia de tierra y resistividad MRU-11,Energía Eléctrica,Resistencia de Puesta a Tierra,SONEL,Medidor básico y preciso para puesta a tierra mediante método de 3 polos y Wenner.,"El MRU-11 es la solución ideal para contratistas que buscan simplicidad y precisión. Permite verificar la calidad de sistemas de puesta a tierra y medir la resistividad del suelo de forma intuitiva, con una carcasa resistente ideal para trabajo de campo.","Métodos: 3 polos, 4 hilos, 2 polos; Método Wenner para suelo; Tensión de interferencia hasta 100V; Selección tensión (25V/50V); Apagado automático; Pantalla LCD grande",Consultar,https://pbt.com.bo/producto/medidor-de-resistencia-de-tierra-y-resistividad-de-suelo-sonel-mru-11/
